id,left_id,left_nama,left_alamat,right_id,right_nama,right_alamat,jaccard,label
116,1344,ayam nelongso wiyung,raya wiyung ruko babatan pratama a2 babatan wiyung 60227,3186,nelongso fried chicken wiyung branch,raya wiyung ruko babatan pratama a2 babatan wiyung 60227,0.666666667,1
117,632,jooy catering bangkit numa,gayungan ib 24 gayungan gayungan 60235,3237,jooy catering oleh bangkit numa,gayungan 1b 24 menanggal gayungan 60235,0.65,1
118,66,ayam bakar pak d,kebonsari 25 kebonsari jambangan 60232,3270,ayam bakar pak d jambangan,raya kebonsari 25f kebonsari jambangan 60232,0.65,1
119,1350,solaria royal plaza surabaya,royal plaza solaria ahmad yani ketintang gayungan 60231,2868,solaria,royal plaza solaria ahmad yani ketintang gayungan 60231,0.625,1
120,1351,solaria grand city surabaya,grand city mall kusuma bangsa ketabang genteng 60272,3175,solaria,grand city mall kusuma bangsa ketabang genteng 60272,0.625,1
121,1250,starbucks coffee kenjeran surabaya,kalijudan mulyorejo 60114,2969,starbucks kenjeran,kalijudan mulyorejo city 60114,0.625,1
122,434,elmara,gayungan 1b 7 gayungan gayungan 60235,3245,elmara catering ibu lusi,gayungan 1b 7 gayungan gayungan 60235,0.625,1
123,1384,mixue ice cream tea mulyosari,raya mulyosari 110 kalisari mulyorejo nan,3322,mixue mulyosari,raya mulyosari 110 kalisari mulyorejo,0.616666667,1
124,1382,mixue ice cream tea gwalk,ruko taman gapura komp d 16 lakarsantri niaga gapura lontar sambikerep 60271,3324,mixue gwalk,ruko taman gapura komp d 16 lakarsantri niaga gapura lontar sambikerep 60217,0.616666667,1
125,190,barokah puding suroboyoo,pondok maritim indah blk am 04 rt rw balas klumprik wiyung,3208,barokah puding suroboyoo,kr klumprik slt 8 4 balas klumprik wiyung 60222,0.59375,1
126,316,cookies box,h r muhammad 73b 60226,3223,cookies box,mayjen hr muhammad 73b putat gede sukomanunggal 60189,0.590909091,1
127,378,catering aqiqah mandiri,masjid al akbar utara 3 pagesangan jambangan 60233,3248,aqiqah surabaya aqiqoh mandiri,masjid al akbar utara 3 pagesangan jambangan 60232,0.588888889,1
128,1370,roti o stasiun gubeng sby,gubeng masjid 35 pacar keling tambaksari 60131,2954,bread o,gubeng masjid 35 pacar keling tambaksari 60131,0.583333333,1
129,229,bon bon,penjaringansari ps 1 a 22 penjaringansari rungkut 60297,3207,bon bon,penjaringan asri 14 10 penjaringan sari rungkut 60297,0.583333333,1
130,1376,gokana ramen teppan tunjungan plasa 6,embong malang genteng genteng 60261,2925,gokana ramen teppan,pppq w8h embong malang genteng genteng 60261,0.583333333,1
131,1352,yoshinoya lenmarc mall surabaya,lenmarc mall gf mayjend jonosewojo 9 pradahkalikendal dukuhpakis 60226,1657,yoshinoya,lenmarc mall gf mayjend jonosewojo 9 pradahkalikendal dukuhpakis city 60226,0.575,1
132,80,180 cake dessert,semampir barat 5 17b medokan semampir sukolilo 60119,3268,180â c cake dessert,raya semampir barat 17b medokan semampir sukolilo 60119,0.575,1
133,1195,stmj herbal pak tedjo,yos sudarso 9 a samping klinik pusura embong kaliasin genteng,3254,stmj herbal pak tejo,yos sudarso 9 embong kaliasin genteng 60271,0.572727273,1
134,1377,majestyk kapas krampung,kapas krampung 93 rw 04 rangkah tambaksari 60135,2919,majestyk bakery cake shop surabaya,kapas krampung 93 rw 04 rangkah tambaksari 60135,0.571428571,1
135,299,chik yen,kedung cowek 62 gading tambaksari 60134,3206,bakpao chik yen kedung cowek,kedung cowek 64 gading tambaksari 60134,0.557142857,1
136,1406,mixue ice cream tea kenjeran,raya kenjeran 424 gading tambaksari nan,3299,mixue kenjeran,raya kenjeran 424 gading tambaksari city,0.557142857,1
137,789,lidya s cake,kertajaya 222 kertajaya gubeng,3198,lidyaâ s cake spesialis chiffon,kertajaya 222 kertajaya gubeng 60282,0.541666667,1
